Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Elizabeth Williams,ATL,F/C,191,87,23.84803048,US,"June 23, 1993",24,Duke,3,30,377,48,96,50.0,0,1,0.0,32,55,58.2,35,61,96,5,5,4,21,128,0,0
Emma Cannon,PHO,F,188,86,24.33227705,US,"January 6, 1989",28,Central Florida,R,18,508,105,220,47.7,11,33,33.3,31,34,91.2,33,72,105,52,21,27,30,252,1,0
Emma Meesseman,WAS,C,193,83,22.28247738,BE,"May 13, 1993",24,Belgium,5,23,617,89,233,38.2,25,79,31.6,56,65,86.2,23,58,81,70,34,5,30,259,0,0
Epiphanny Prince,NY,G,175,81,26.44897959,US,"November 1, 1988",28,Rutgers,8,26,282,36,86,41.9,1,3,33.3,15,22,68.2,17,44,61,5,4,8,17,88,0,0
Erica Wheeler,IND,G,170,65,22.49134948,US,"February 5, 1991",26,Rutgers,3,30,767,130,321,40.5,42,129,32.6,34,40,85.0,11,57,68,117,38,1,68,336,0,0
Érika de Souza,SAN,C,196,86,22.38650562,BR,"September 3, 1982",34,Brazil,13,30,579,65,112,58.0,0,0,0.0,29,32,90.6,58,74,132,35,18,7,37,159,0,0
Erlana Larkins,IND,F,185,93,27.17311907,US,"February 4, 1986",31,North Carolina,9,20,386,36,92,39.1,9,35,25.7,21,24,87.5,9,26,35,24,11,8,13,102,0,0
Essence Carson,LA,G/F,183,74,22.09680791,US,"July 28, 1986",31,Rutgers,10,15,61,4,16,25.0,0,0,0.0,5,6,83.3,7,2,9,0,1,3,5,13,0,0
Imani Boyette,ATL,C,201,88,21.78163907,US,"November 10, 1992",24,Texas,1,29,410,56,119,47.1,1,3,33.3,14,20,70.0,43,75,118,14,9,23,22,127,1,0
Ivory Latta,WAS,G,168,63,22.32142857,US,"September 25, 1984",32,North Carolina,12,29,499,79,218,36.2,40,114,35.1,47,55,85.5,7,20,27,49,12,1,22,245,0,0
Jantel Lavender,LA,C,193,84,22.55094096,US,"December 11, 1988",28,Ohio State,7,28,481,89,184,48.4,4,13,30.8,18,22,81.8,31,56,87,28,8,5,35,200,0,0
Jasmine Thomas,CON,G,175,66,21.55102041,US,"September 30, 1989",27,Duke,6,27,762,151,341,44.3,50,116,43.1,39,55,70.9,9,55,64,118,45,4,58,391,1,0
Jazmon Gwathmey,IND,G,188,65,18.39067451,PR,"January 24, 1993",24,James Madison,2,24,371,50,140,35.7,12,49,24.5,30,39,76.9,15,34,49,17,13,19,32,142,0,0
Jeanette Pohlen,IND,G,183,78,23.29122996,US,"February 5, 1989",28,Stanford,6,25,278,20,52,38.5,13,29,44.8,17,20,85.0,3,19,22,13,5,0,15,70,0,0
Jonquel Jones,CON,F/C,198,86,21.93653709,BS,"May 1, 1994",23,George Washington,1,29,463,47,124,37.9,11,32,34.4,11,15,73.3,11,46,57,39,30,1,24,116,0,0
Kaela Davis,DAL,G,188,77,21.78587596,US,"March 15, 1995",22,South Carolina,R,23,208,27,75,36.0,20,55,36.4,3,4,75.0,2,20,22,5,7,1,6,77,0,0
Kahleah Copper,CHI,G/F,185,70,20.45288532,US,"August 28, 1994",22,Rutgers,1,29,475,62,163,38.0,12,32,37.5,49,65,75.4,10,33,43,32,13,3,48,185,0,0
Kaleena Mosqueda-Lewis,SEA,F,180,82,25.30864198,US,"March 11, 1993",24,Connecticut,3,29,369,60,140,42.9,5,23,21.7,36,45,80.0,11,43,54,11,9,2,22,161,0,0
Karima Christmas-Kelly,DAL,G/F,183,82,24.48565201,US,"November 9, 1989",27,Duke,6,14,142,23,43,53.5,9,21,42.9,10,10,100.0,4,10,14,6,1,1,13,65,0,0
Kayla Alexander,SAN,C,193,88,23.6247953,CA,"May 1, 1991",26,Arizona State,4,30,889,91,239,38.1,25,83,30.1,111,129,86.0,45,75,120,65,39,5,50,318,0,0
Kayla McBride,SAN,G/F,180,79,24.38271605,US,"June 25, 1992",25,Notre Dame,3,31,433,78,141,55.3,0,0,0.0,15,16,93.8,40,47,87,17,13,15,30,171,0,0
Kayla Pedersen,CON,F,193,86,23.08786813,US,"April 14, 1989",28,Stanford,5,27,882,128,337,38.0,47,147,32.0,108,118,91.5,12,93,105,59,32,5,54,411,0,0
Kayla Thornton,DAL,F,185,86,25.12783053,US,"October 20, 1992",24,Texas–El Paso,2,21,224,11,30,36.7,0,1,0.0,10,14,71.4,19,26,45,13,6,2,9,32,0,0
Keisha Hampton,CHI,F,185,78,22.79035793,US,"February 22, 1990",27,DePaul,1,30,504,64,157,40.8,14,52,26.9,65,81,80.2,36,59,95,24,20,7,21,207,0,0
Kelsey Plum,SAN,G,173,66,22.05219018,US,"August 24, 1994",23,Washington,R,28,610,73,210,34.8,29,78,37.2,50,58,86.2,11,42,53,91,13,4,72,225,0,0
Kia Vaughn,NY,C,193,90,24.16172246,US,"January 24, 1987",30,Rutgers,9,23,455,62,116,53.4,0,0,0.0,10,19,52.6,39,71,110,16,8,9,21,134,1,0
Leilani Mitchell,PHO,G,165,58,21.30394858,US,"June 15, 1985",32,Utah,9,30,623,70,182,38.5,31,92,33.7,62,75,82.7,12,57,69,108,26,9,50,233,0,0
Lindsay Allen,NY,G,173,65,21.71806609,US,"March 20, 1995",22,Notre Dame,R,23,314,21,50,42.0,0,11,0.0,6,9,66.7,8,28,36,47,13,1,18,48,0,0
Lindsay Whalen,MIN,G,175,78,25.46938776,US,"September 5, 1982",34,Minnesota,14,22,520,69,153,45.1,12,34,35.3,27,36,75.0,8,46,54,90,11,2,44,177,0,0
Marissa Coleman,IND,G/F,185,73,21.32943755,US,"April 1, 1987",30,Maryland,9,30,539,50,152,32.9,27,79,34.2,27,33,81.8,7,53,60,25,8,4,34,154,0,0
Matee Ajavon,ATL,G,173,73,24.39105884,US,"July 5, 1986",31,Syracruse,R,27,218,22,69,31.9,0,3,0.0,29,35,82.9,8,26,34,27,10,0,26,73,0,0
Monique Currie,PHO,G/F,183,80,23.88844098,US,"February 25, 1983",34,Duke,11,32,717,121,284,42.6,37,93,39.8,85,103,82.5,19,103,122,67,22,11,48,364,0,0
Morgan Tuck,CON,F,188,91,25.74694432,US,"April 30, 1994",23,Connecticut,1,17,294,35,101,34.7,8,28,28.6,13,16,81.3,9,34,43,19,7,0,15,91,1,0
Moriah Jefferson,SAN,G,168,55,19.48696145,US,"August 3, 1994",23,Connecticut,1,21,514,81,155,52.3,9,20,45.0,20,27,74.1,6,31,37,92,33,2,43,191,0,0
Natalie Achonwa,IND,C,193,83,22.28247738,CA,"November 22, 1992",24,Notre Dame,3,30,529,82,151,54.3,0,0,0.0,43,55,78.2,31,70,101,21,11,16,25,207,0,0
Natasha Cloud,WAS,G,183,73,21.79820239,US,"February 22, 1992",25,Saint Joseph's,3,24,448,37,118,31.4,12,51,23.5,20,27,74.1,7,52,59,69,17,3,23,106,0,0
Natasha Howard,MIN,F,188,75,21.22000905,US,"February 9, 1991",26,Florida State,4,29,315,48,104,46.2,3,13,23.1,17,23,73.9,25,38,63,16,11,19,20,116,0,0
Nayo Raincock-Ekunwe,NY,F/C,188,79,22.35174287,CA,"August 29, 1991",25,Simon Fraser,R,27,243,33,63,52.4,0,4,0.0,30,49,61.2,24,22,46,8,2,1,13,96,0,0
Nia Coffey,SAN,F,185,77,22.49817385,US,"May 21, 1995",22,Northwestern,R,25,203,16,59,27.1,0,4,0.0,16,22,72.7,16,30,46,6,5,6,14,48,0,0
Noelle Quinn,SEA,G,183,81,24.18704649,US,"March 1, 1985",32,UCLA,11,29,459,24,58,41.4,14,35,40.0,17,18,94.4,1,48,49,78,12,5,27,79,0,0
Odyssey Sims,LA,G,173,73,24.39105884,US,"July 13, 1992",25,Baylor,4,27,626,86,198,43.4,11,49,22.4,47,55,85.5,10,34,44,87,38,5,39,230,1,0
Plenette Pierson,MIN,F/C,188,88,24.89814396,US,"August 31, 1981",35,Texas Tech,15,29,402,54,142,38.0,17,51,33.3,15,20,75.0,13,49,62,48,12,4,33,140,0,0
Rachel Banham,CON,G,175,76,24.81632653,US,"July 15, 1993",24,Minnesota,2,26,238,32,87,36.8,16,48,33.3,16,20,80.0,2,27,29,20,4,0,12,96,0,0
Ramu Tokashiki,SEA,F,193,80,21.47708663,JP,"November 6, 1991",25,Japan,1,29,378,42,92,45.7,0,3,0.0,22,27,81.5,19,29,48,16,8,8,25,106,0,0
Rebekkah Brunson,MIN,F,188,84,23.76641014,US,"November 12, 1981",35,Georgetown,14,26,719,97,218,44.5,22,60,36.7,62,83,74.7,46,135,181,40,31,9,42,278,2,0
Renee Montgomery,MIN,G,170,63,21.79930796,US,"February 12, 1986",31,Connecticut,9,29,614,71,181,39.2,30,89,33.7,44,51,86.3,12,34,46,96,24,1,43,216,0,0
Riquna Williams,LA,G,170,75,25.95155709,US,"May 28, 1990",27,Miami (FL),5,23,408,45,140,32.1,20,74,27.0,38,44,86.4,6,26,32,16,19,3,26,148,0,0
Sami Whitcomb,SEA,G,178,66,20.83070319,US,"July 20, 1988",29,Washington,R,29,354,46,120,38.3,33,94,35.1,14,17,82.4,12,40,52,24,22,0,24,139,0,0
Sancho Lyttle,ATL,F,193,79,21.20862305,ES,"September 20, 1983",33,Houston,13,25,703,71,163,43.6,1,7,14.3,13,19,68.4,42,138,180,41,40,17,34,156,0,0
Saniya Chong,DAL,G,173,64,21.383942,US,"June 27, 1994",23,Connecticut,R,29,348,27,74,36.5,8,35,22.9,25,29,86.2,9,19,28,33,21,3,23,87,0,0
Seimone Augustus,MIN,G/F,183,77,22.99262444,US,"April 30, 1984",33,LSU,12,27,756,125,251,49.8,18,41,43.9,30,35,85.7,12,70,82,108,17,1,39,298,1,0
Sequoia Holmes,SAN,G,185,70,20.45288532,US,"June 13, 1986",31,UNLV,2,24,280,31,89,34.8,13,46,28.3,6,11,54.5,12,12,24,23,13,5,11,81,0,0
Shatori Walker-Kimbrough,WAS,G,180,64,19.75308642,US,"May 18, 1995",22,Maryland,R,22,260,29,78,37.2,9,26,34.6,29,32,90.6,4,13,17,10,11,1,12,96,0,0
Shay Murphy,SAN,G,180,74,22.83950617,US,"April 15, 1985",32,Southern California,9,23,242,23,62,37.1,12,35,34.3,8,12,66.7,12,26,38,17,10,1,12,66,0,0
Shenise Johnson,IND,G,180,78,24.07407407,US,"September 12, 1990",26,Miami (FL),6,14,348,55,127,43.3,10,30,33.3,38,40,95.0,13,35,48,35,21,4,18,158,0,0
Stephanie Talbot,PHO,G,185,87,25.42001461,AU,"December 20, 1990",26,Australia,R,30,555,47,114,41.2,15,38,39.5,29,44,65.9,28,58,86,50,22,8,28,138,0,0
Sydney Colson,SAN,G,173,64,21.383942,US,"June 8, 1989",28,Texas A&M,3,25,296,25,78,32.1,2,10,20.0,20,30,66.7,3,11,14,51,13,2,25,72,0,0
Sydney Wiese,LA,G,183,68,20.30517483,US,"July 13, 1992",25,Oregon State,R,25,189,19,50,38.0,13,32,40.6,4,8,50.0,3,18,21,6,4,3,2,55,0,0
Tamera Young,ATL,G/F,188,77,21.78587596,US,"October 30, 1986",30,Tennessee,9,31,820,105,297,35.4,23,70,32.9,44,65,67.7,23,87,110,66,36,14,61,277,0,0
Tayler Hill,WAS,G,175,66,21.55102041,US,"October 23, 1990",26,Ohio State,5,18,462,69,191,36.1,27,89,30.3,75,80,93.8,5,29,34,47,16,1,26,240,0,0
Temi Fagbenle,MIN,C,193,89,23.89325888,UK,"August 9, 1992",25,Southern California,R,17,74,6,14,42.9,0,0,0.0,5,6,83.3,3,13,16,1,3,3,8,17,0,0
Theresa Plaisance,DAL,F,196,91,23.68804665,US,"May 18, 1992",25,LSU,4,30,604,80,213,37.6,35,101,34.7,22,24,91.7,38,89,127,24,23,22,24,217,1,0
Tianna Hawkins,WAS,F,191,87,23.84803048,US,"February 3, 1991",26,Maryland,4,29,483,79,165,47.9,11,41,26.8,41,43,95.3,42,82,124,9,15,7,23,210,0,0
Tierra Ruffin-Pratt,WAS,G,178,83,26.19618735,US,"November 4, 1991",25,North Carolina,5,29,703,77,217,35.5,0,4,0.0,71,96,74.0,45,120,165,68,30,16,47,225,2,0
Tiffany Jackson,LA,F,191,84,23.0256846,US,"April 26, 1985",32,Texas,9,22,127,12,25,48.0,0,1,0.0,4,6,66.7,5,18,23,3,1,3,8,28,0,0
Tiffany Mitchell,IND,G,175,69,22.53061224,US,"September 23, 1984",32,South Carolina,2,27,671,83,238,34.9,17,69,24.6,94,102,92.2,16,70,86,39,31,5,40,277,0,0
Yvonne Turner,PHO,G,175,59,19.26530612,US,"October 13, 1987",29,Nebraska,2,30,356,59,140,42.1,11,47,23.4,22,28,78.6,11,13,24,30,18,1,32,151,0,0
